complaint_id,complaint_text,primary_category,secondary_category,severity
2105836,"I am writing another complaint against Wells Fargo. This is complaint # 4. I do n't understand why Wells Fargo is trying to waste my time when I am merely trying to save my home. I have asked you to provide confirmation on who actually was the investor of this property. I have been told the FHA was the investor. Then, I was told Wells Fargo was the investor.This went on for 5 years. Now, XX/XX/XXXX, Wells Fargo 's lastadmission was that XXXX was the investor. Can you please stop wasting my time and give me an answer that is not full of lies? 
You may want to know why this is so important to me. The answer is simple. 1. ) I had an FHA loan. 2. ) I paid for mortgage insurance. 3. ) I should have been able to use FHA money through their Partial Claims. 4. ) The LENDER ( or investor ) has to initiate the partial claims paperwork. 
Wells Fargo REFUSED to initiate the paperwork stating that they were not the lender. That was a lie. Had Wells Fargo not lied to me, and filled out the paperwork for Partial Claims, this foreclosure would have been stopped. Now, they are saying I never submitted the paperwork needed. WHAT?????? Lie after lie, after lie. 
My last point of contact for Wells Fargo was XXXX XXXX. After I read XXXX ' answers to my questions, I thought I was on the show "" XXXX. '' I could not believe the ridiculous answers I received. I submitted paperwork that contradicts everything in your answers.After contacting Wells Fargo and asking to speak to a supervisor, I was given another point of contact named XXXX XXXX. At first, he seemed very concerned with my issues and stated that he was going to do every thing he can to get to the bottom of this. I wanted to speak to XXXX again but, for some reason, he is never in the office and after leaving several messages on HIS PERSONAL VOICEMAIL, I have yet to hear from him. 
Now XXXX told me that if there were any improprieties, Wells Fargo would do what they could to resolve my issues and work with me to get my home back. He sounded so sincere that I actually believed him. Thank goodness my common sense told me to become a member of auction.com and to add this address to my saved list. So, I was a little upset when I received an email from XXXX that this property was available to bid on. Auction starts XX/XX/XXXXand is overXX/XX/XXXX. Starting bid is {$2500.00}. When I called XXXXon XXXX/XXXX/XXXX, to discuss this, his whole attitude changed and he stated that he NEVER said Wells Fargo would reverse anything. Then, after telling him I have the whole conversation on tape, he stated that he could no longer talk to me if I was recording him. The first thing you 're told when you call Wells Fargo, is that you are on a recorded line.What 's the differencebetween YOUR recordedconversation or mine? Maybe they want to edit their tapes later but ca n't if there 's another recording out there. Makes you wonder. 
So my question is, how are you looking for improprieties which could reverse this foreclosure and at the same time, put this property on the auction block? I do n't know if the "" dual tracking '' laws would pertain to this but lets see what the OCC, CFBP, and THE Federal Trade Commission think about it. Remember, I have EVERY conversation recorded, just like you. Before you answer, you may want to go back and listen to your own recorded messages. 
Please stop the auction until you finish your investigation. I 'm trying to get my home back and it appears that you, Wells Fargo is doing everything in your power to circumvent my due diligence. Also, please find my mortgage modification packet from XXXX/XXXX/XXXX. That would be the packet submitted in court and handed to your Attorney, XXXX XXXX. This would be your first impropriety.",Mortgage,"Loan modification,collection,foreclosure",1
2473702,"In an effort to pay my loan off in  XXXX  years, my  XXXX  daughters agreed to have a total of {$910.00} drafted from each of their checking accounts per month. This was in addition to my payment of {$940.00}. This totaled a minimum payment of {$1800.00} per month. Moreover, I agreed to make my payment every  XXXX  weeks thus making an extra payment per year. The necessary draft amounts to pay the loan off in  XXXX  years was calculated by the  XXXX   XXXX  mortgage loan  officer  who is no longer employed with the  XXXX , AL branch. As previously stated, he explained and we agreed that my checking account would be debited every  XXXX  weeks to make an extra payments per year, thus shortening the term of the loan. This coupled with my daughters ' extra monthly payments would ensure a five-year payoff. The date of the refinanced loan was   XXXX   XXXX   XXXX  , for {$100000.00}. The specifics of the loan include : annual percentage rate is 3.625,  XXXX   XXXX ,  XX -year loan.     I learned that the error had been made when I received information from  WF  that my escrow payment was inadequate and would increase in  XXXX .     When speaking with the resolution specialist, she stated that when I called to give the checking accounts from which to debit the mortgage payment and extra principle, that I did not explain adequately and also that there were documents that should have been filed by the mortgage specialist in  XXXX . I did explain and I have never had an issue with self-expression. The resolution  specialist  stated when I called her concerning the incorrect application of my loan payment that it was too difficult to go back  XXXX  years, but they could probably go back  XXXX  year. My question to her was why could n't the same procedure be utilized for both years since a dreadful life-changing error had been made. I expressed to her that it was our goal to have the loan paid off by the time I was at the retirement age of  XXXX  in  XXXX . If we do not get my money correctly appropriated, first, I will have to work longer and secondly, my children 's selfless effort to help pay the loan off in  XXXX  years will be all for NOTHING.     PLEASE HELP turn this situation into it 's intended positive outcome. Please contact me to clear up any ambiguity.     Finally, I just want to stress that I do not want anything free or anything that I have not earned. I just want WF to do what is right and I want to be treated like a valuable customer, I have never been late in paying a mortgage payment in the  XXXX  plus years as a homeowner, I have an exceptional  credit score  of  XXXX .     When I called to get help with this problem, I was told that my account was paid up to the year  XXXX  because of how the payments were applied. My question which is yet to be answered is, why would anyone choose to pay forward rather than apply extra funds toward the principle of their loan. I am at a loss to understand why anyone would throw their hard earned wages away in that fashion.",Mortgage,Trouble during payment process,1
11324761,"I have just checked my credit score from XXXX XXXX and when I did it said I have a derogatory account which is True Accord XXXX I have no knowledge of this debt. My credit report says that I owe {$85.00} for a Account charge off, dates late XXXX, reported XX/XX/24, XXXX last four numbers of the account number, date of account status XX/XX/24. I have not seen anything from this collector. Today when I pulled up my XXXX credit report was the first time I saw it. For XXXX years I have lived @ the same address, so I shouldn't of had any problems with my mail. Under the fair debt Collection Rule I should have received some form of validation of this debt before they reported it on my credit report. I have looked thru my pile of mail in my box there ( over a yr. old ) there is nothing from this company. I do not know who this is or who they are collecting for. I have had in the past a collection agency that somehow got ahold of my credit report and tried collecting a charged off debt but I called the original creditor just to find out they did not send the account for collection. If I knew who they got this debt from I could call them for validity. I have filed a dispute with XXXX also. Thanks",Debt collection,Written notification about debt,1
2434122,"I have submitted a dispute with TransUnion for reporting a Public Record Bankruptcy on my credit report and have nothing has been done to rectify the disputed information, nor provide verification of proof. On XX/XX/XXXX, I spoke with a representative XXXX that stated that my previous letters were noted however, no action was taken except to send me an updated copy of my report showing the exact same thing that was on there before. 
I sent certified dispute letters to TransUnion dated XX/XX/XXXX and XX/XX/XXXX and nothing was done. On XXXX, I had to start an entirely new dispute all over again. And per XXXX as of XX/XX/XXXX they had, had no verification that the public information being disputed by me was indeed correct. I had till XXXX, to receive a response from their investigation and pending the result will delete the derogatory information from my report. However, When I called to inquire how long before they removed the derogatory information, public record and the 2 derogatory information being reported they claimed that it will not be deleted and I can submit another dispute again. I 've submitted disputes XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX and each time I 'm told to submit new dispute all over again and wait 30 days. I think I have waited more than enough 30 days, and would like this issue rectified immediately.",Credit reporting,Incorrect information on credit report,1
2000025,"I am overwhelmed and really need your help with investigating my student loan account balance and added extra fees with XXXX XXXX , XXXX and XXXX XXXX XXXX ( XXXX ) agencies. 

I have a number of student loans that I would like to make revolving payments on. However, it is extremely frustrating and overwhelming that my student loan total balance has increased from {$80.00} and tripled ( approximately 2 times the amount than the original balance ), resulting in me now owing {$150.00}. 

In XX/XX/XXXX, in the effort of trying to resolve my student loan balance, I entered into a student loan recovery program with XXXX XXXX XXXX ( XXXX ). The agreement was that I had to pay {$630.00} for nine ( 9 ) months. On the tenth ( 10th ) month the agreement was that the payment would be reduced to a more affordable payment, which was to be paid directly to XXXX and no longer to XXXX. 

Each time I tried to talk to XXXX about lowering my payment and after the 9th payment I continuously received the run around. Unfortunately, once I completed the 9th payment and the loan was sent back to XXXX, I was told that the payment could NOT be lowered and the {$630.00} will need to be continued. I told XXXX that I only agreed to the payment for 9 months knowing that it would be reduced on the 10th month. I advised XXXX that I could pay $ 200 monthly. XXXX would not accept a lower payment amount. 

Please know that I am fully aware that this is my student loan and it is my reasonability to repay the loan. However, because XXXX would not take a lower payment, as we were dealing with financial difficulty during that time, I was unable to continue the {$630.00} payments to XXXX. 

Now in XX/XX/XXXX XXXX continued to add fees to my balance, sold my account to XXXX XXXX , XXXX who ALSO STACKED on additional fees resulting in my student loan going form {$80.00} to now owing {$150.00}. When I called XXXX XXXX, XXXX and spoke with the collector of my student loan, I asked her what was the lowest amount that I could pay. She advised me that the payment was {$1800.00} per month. When I pulled out my calculator and multiplied {$1800.00} by 180 months equals to me actually paying back {$320000.00} when I only borrowed {$80.00}. You do the math as "" THIS IS INSANE. '' To be honest, I was in shock where I actually almost fell off the chair. 

I told her that I could not pay {$1800.00} a month and I will need a much lower amount. She never asked me any questions regarding my expenses and nor did she provide me with an itemized statement as to where did all theses fees come from. Additionally, my XXXX tax return was garnished by XXXX and or XXXX XXXX, XXXX She was unable to provide me with an itemized statement as to where the funs were applied. Matter of fact, she simply advised me that there was NO room for negotiation and the payment amount is {$1800.00} per month, and became unresponsive on the phone and basically hung up on me. 

Next, I proceeded to call XXXX, hoping that I was gong to get some assistance. I spoke with a young man who started yelling at me as I was trying to explain to him my situation and how the loan has tripled ( 3 times the amount ) from what I originally borrowed. He told me in a very loud tone of voice that "" this is your responsibility and you need to pay your loans. '' Please know that I am not denying that I need to take the responsibility to pay back my student loan but to be honest following my conversation with XXXX telling me that they would only accept {$1800.00} and the staff person at XXXX raising his voice at me over the phone felt extremely stressful, frustrating, and even more so disrespectful. 

To that end, I really need your assistance as this has become extremely overwhelming. Following research, I contacted your organization ( Consumer Financial Protection Bureau - CFPB ).",Credit reporting,Incorrect information on credit report,1
1695332,Chexsystem continues to report information on my Consumer Report after being notified its a result of ID theft and in violation of my request to block that information under FCRA Section 605B and 623 ( a ) ( 6 ). They responded that it was validated but how can an account that is NOT MINE and a result of ID Theft be validated????? I have never had a bank account in my entire life and use a payroll card for all my bills and finances.,Credit reporting,Incorrect information on credit report,1
7883019,"May this letter find you in good health As a loyal customer, I'm writing to you to voice my concerns about certain late payments that were shown on my account. I understand the importance of maintaining a positive payment history and take full responsibility for these oversights. I kindly request your understanding and assistance in removing the recorded late payments from my account history. 
XXXX XXXX XXXX XXXX XXXX  Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact me or XXXX XXXX XXXX XXXX customer service representative. 
I am aware that the business has late payment procedures in place, and I genuinely appreciate your compassion and understanding in this regard. Please walk me through the appropriate procedures if there is a formal process to follow or if any further information is needed. 
I appreciate you taking the time to consider this request. I value your efforts in assisting me in keeping my account information accurate.",Debt collection,Written notification about debt,1
4670706,"Equifax has been contacted numerous times on this problem with online disputes in regards to below account. 

Personal Loan account XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX has indeed confirmed that there are no lates on this closed account with confirmation proof with dates of XX/XX/XXXX and XX/XX/XXXX with a manual submission of paperwork to Equifax on those dates. 

Equifax has refused to update their records to reflect this account with no late payments. Their records show a 30 day late payment on XX/XX/XXXX. There should be no 30 day lates on this account as shown by creditor above.","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
7812422,I disputed the information with XXXX XXXX  they not trying to solve the issues I dont owe no payment because I dont have a contract with this company. I would like this information to be remove for my credit report asap,Debt collection,Attempts to collect debt not owed,1
15294774,"On XX/XX/scrub> 2025,

I received an email from Upgrade notifying me that my checking account had been suspended without warning. At the time, my account contained {$2400.00}. I was given no explanation for the suspension and was told by customer service that no action was required on my part and that I would receive an update within 90 days. Since that time, my direct deposit has posted to the account, bringing my current balance to {$5700.00}. I now have no access to any of my funds to pay for bills, groceries, utilities, and other essential living expenses. This is my only source of available income, and the continued hold is creating severe and immediate financial hardship.

The only unusual activity that occurred before the suspension was that I initiated two wire transfers to myself on consecutive days. Both transactions were fully verified and confirmed as authorized by me. Despite this, Upgrade has continued to hold 100 % of my balance without providing a reason or a specific resolution timeline.

I believe this indefinite hold on my account and failure to provide access to my own funds may constitute violations of federal consumer protection laws, including : Regulation CC ( 12 CFR Part 229 ) which establishes maximum permissible hold periods for deposited funds.

Electronic Fund Transfer Act ( EFTA, 15 U.S.C. 1693 et seq. ) which protects consumers rights to access their accounts and funds in a timely manner.

I have repeatedly requested an expedited review or at least a partial release of my funds, but Upgrade has refused. They have stated only that my case has been escalated but will not provide a timeline for resolution.

I am requesting that the CFPB assist in ensuring Upgrade either : 1. Provides a clear and specific explanation for the suspension and a definitive resolution date ; or 2. Releases my funds immediately so I can meet basic living expenses while their review is ongoing.

Every day this account remains frozen puts me at risk of debt, utility shutoffs, and inability to purchase food. This is not a minor inconvenience it is an immediate threat to my livelihood. I am urgently requesting the CFPBs intervention to ensure I regain access to my own money without further delay.",Checking or savings account,Managing an account,3
6201535,"Someone signed up for multiple accounts on my name while I was XXXX and even has another social security number, my ID information as well. 
-Jefferson Capital for XXXX XXXX The police report has been done and the account was removed from my credit report but its back. 

Also, XXXX XXXX simple has been ruining my credit for years. Company sold me faulty merchandise, I returned it and it still has a negative mark on my credit report. 

XXXX XXXX XXXX repeatedly reporting monthly on an account that has been closed and charged off. Theres no agreement. 

XXXX XXXX Reports wrong account to credit bureau of choice . Account information not correct or on all 3 reporting agencies.",Debt collection,Attempts to collect debt not owed,3
2124423,"To whom it may concern : I had a loan with Nationstar Mortgage since 2010 I was selling my home and I missed 2 payments and had set up a repayment plan and paid the first of 3 installments. I had an offer on the house as it was for sale and talked frequently with Nationstar as we got closer to closing and even though I missed payment 2 of the payment plan I told them the closing date was just 15 days after the payment was due. Then XXXX XXXX from XXXX called to get payoff and all documents needed for closing, the day after that happened Nationstar all of the sudden put {$4700.00} in legal fees 5 days before closing after I had been in constant contact with them. No one from Nationstar or the Attorney themselves can justify what was done for the {$4700.00} XXXX also looked up my home and there was nothing started or posted about a foreclosure on my home. I have paid off this loan and am disputing with Nationstar about the fees but they are giving me the run around and are not providing any documentation as to what the fees went to. I admit I was behind but i was very open and honest with Nationstar and told them this was a done deal with the sale of the house and the way they conducted themselves and put the fees on right before closing was very questionable.",Mortgage,"Loan modification,collection,foreclosure",1
8440243,"This is my second endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud or extortion. 
XXXX XXXX XXXX XXXX XXXX, MO XXXX XXXX XXXX XXXX XXXX XXXX, MO XXXX XXXX XXXX  XXXX XXXX **** Balance Owed : {$0.00} XXXX XXXX XXXX XXXX XXXX Balance Owed : {$3500.00} XXXX XXXX XXXX XXXX XXXX Balance Owed : {$3500.00} XXXX XXXXXXXX Balance Owed : {$0.00} XXXX XXXX XXXX XXXX Owed XXXX {$0.00} XXXX XXXX XXXX XXXX XXXXXXXX Balance Owed : {$43000.00} XXXX XXXX XXXX  XXXX Balance Owed : {$0.00} XXXX XXXX XXXX XXXX Balance Owed : {$500.00} XXXX XXXX  XXXX XXXX XXXX Balance Owed : {$2100.00} XXXX XXXXXXXX XXXX Owed : {$340.00} XXXX XXXX XXXX Balance Owed : {$1300.00} XXXX  XXXX XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX",Credit reporting or other personal consumer reports,Incorrect information on your report,5
2663431,"The property I owed located on XXXX XXXX XXXX in XXXX, IL was sold on a short sale on XXXX. The creditor, XXXX, continues to report the account as past due on XX/XX/XXXX, even though as per the documents the house was sold and the title passed to the new owners on XX/XX/XXXX. In addition, they also continue reporting that the house was in foreclosure as of XX/XX/XXXX, even though foreclosure proceeding never started and the house was sold two months before that. There should be no data reported for XXXX and XX/XX/XXXX.","Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,1
4446118,"( AR RESOURCES INC ) at XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX ) has been sending me collection notices in the amount of ( {$320.00} ). The collection has been reported as passed due balance. I do not know this company. I have never done any business with this company. This company does not have a contact with my signature.",Debt collection,Attempts to collect debt not owed,1
1333830,"Hello, About almost XXXX years ago my husband and I lost our home that was financed by Flagstar bank. We tried for about a year to try to modify our home with unanswered questions. They asked for paper work, we sent it. They kept asking for the same information over and over and over. They seemed to want to help us but once they received everything they asked for they said it was too late. I have faxed papers over and over and over and even had different agencies trying to help me modifiy my loan. Nothing was done and my home was foreclosed on. We did not want to lose our home and tried everything in our power to try and save it. Whatever they asked we did. From papers being notorized to simple bank statements. they received it all. They kept sending the same request over and over and we kept sending everything. They did nothing. This bank had no intentions in letting us modify are loan and its plane simple and wrong.",Mortgage,"Loan modification,collection,foreclosure",1
4385501,"XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX, XXXX  XXXX XXXX, New York XXXX Social Security # XXXX DOB : XX/XX/XXXX I hereby make a ghost-letter attempt to a resolution on various credit items and/or items of public record that currently show on XXXX, XXXX, XXXX XXXX and XXXX respectively. My position is legal based upon sections of the Fair Credit Reporting Act as well as the Fair Debt Collection Practices Act. These laws are to make sure that a level and fair playing field exist to protect American consumers from abusive reporting procedures on credit reports, as well as illegal and deceptive collection practices. I stipulate at this time that are no condition am U making an identity theft claim or accusation, so I demand that policy be adhered to by all creditors and respective credit reporting agencies. 
Amended consumer rights Fair Credit Reporting Act Public Law 15 U.S.C. 1681 : https : //www.consumer.ftc.gov/articles/pdf-0111-fair-credit-reporting-act.pdf Fair Debt Collection Practices Act : https : //www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform-proceedings/fair-debt-collection-practices-act-text On these subscribers that are reporting the affixed information, I am requesting full validation such as, original transfer rights to collect, confirmation of legal timeline to report on credit and/or collection procedures, validation of licensing requirements, posted bonding requirements, oversight on monthly payment histories, proper subscriber agreement compliance with credit reporting agencies, and overall compliance with all Fair Credit Reporting Act and Fair Debt Collection Practices Act bylaws as mandated by federal laws. If all of these requirements are not in order, then I have the legal right to request the deletion of this tradeline accordingly. I especially desire compliance under the 84-month timeline for deletion of negative information, with the deletion of the account details altogether. My dispute is quite specific in the exception area posted below : 605. Requirements relating to information contained in consumer reports [ 15 U.S.C. 1681c ], Section 609 of the Fair Credit Reporting Act ( FCRA ), Disclosures to consumers [ 15 U.S.C. 1681g ] ; Section 610 ( a ) ( 1 ) [ 1681h ], and 611. 

CREDITOR CONTACT INFORMATION : SYNCB AMERICAN EAGLE XXXX XXXX XXXX XXXX, GA XXXX ACCOUNT # XXXX On these subscribers that are reporting the affixed information, I am requesting full validation such as, original transfer rights to collect, confirmation of legal timeline to report on credit and/or collection procedures, validation of licensing requirements, posted bonding requirements, oversight on monthly payment histories, proper subscriber agreement compliance with credit reporting agencies, and overall compliance with all Fair Credit Reporting Act and Fair Debt Collection Practices Act bylaws as mandated by federal laws. If all of these requirements are not in order, then I have the legal right to request the deletion of this tradeline accordingly. 

I am posting this dispute through the Consumer Financial Protection Bureau, the governing body of the Fair Credit Reporting Act and the Fair Debt Collection Practices Act. Please respond to this dispute within 30-days as mandated within federal guidelines. 

Sincerely, XXXX XXXX",Debt collection,Written notification about debt,5
3208671,"BANK OF AMERICA has stolen {$3000.00} of my money and will not give it back for more than a week. 
On XX/XX/XXXX I deposited a {$3000.00} check drawn on my checking/debit card account at the XXXX XXXX in XXXX. I deposited this {$3000.00} check into the Bank of America ATM in XXXX XXXX and the check was printed on my receipt with a 10-day HOLD. On XX/XX/XXXX I called my XXXX XXXX  to stop payment ( because I would have the bank issue me a cashiers ' check to deposit instead ). The XXXX XXXX informed me that the {$3000.00} HAD BEEN WITHDRAWN. 
I went into a BoA bank and was referred to a "" risk assessment '' department and I called several different BoA phone numbers including the one on the card ( XXXX ). I got the same story from everyone : Bank of America will NOT GIVE ME MY MONEY UNTIL XX/XX/XXXX even though they got it two days ago! 
FCPB has just told me on the phone that BoA has 15 days to respond to this complaint. What a disappointment!",Checking or savings account,Managing an account,1
4663314,"I have paid this account. I then received notice the account was paid off when I checked my credit report. I made 8 attempts over 2 hours today to call fingerhut. Each time I entered my last 4 digits of my social, an agent answered then while talking hung up. This happened each time I called back with the 8th call ending with me speaking woth XXXX who did the ae thing. I then called Experian who told me since I disputed akd the creditor agreed to the account I need to contact XXXX. I tried to explain I did 8 times with no help. I then went to the website and reset my log in info. When I logged in, the account state Midland Funding have the account. I called XXXX and the agent told me he did not care what I paid with XXXX, but I need to pay {$940.00} which in wrong. Midland Funding stated they sent a letter on XX/XX/XXXX and I confirmed I did not received it and asked if a copy could he emailed or faxed ; the agent told me "" no, if you didn't get it that's too bad ''. 

This incorrect information need to be removed from credit because its incorrect.",Debt collection,Written notification about debt,1
